reviewer_id,listing_id,id,year,sentiment,weight
Byron_150884075,(L) 652063,252286562,2018,Negative,1
Byron_150884075,(L) 15501219,234484829,2018,Negative,1
Byron_150884075,(L) 15501219,238778986,2018,Positive,2
Byron_150884075,(L) 18739313,209998405,2017,Negative,1
Byron_150884075,(L) 19025923,195324213,2017,Positive,2
Byron_150884075,(L) 19025923,237687922,2018,Positive,2
Byron_150884075,(L) 19025923,242729414,2018,Positive,2
Byron_150884075,(L) 20141478,203041044,2017,Negative,1
Byron_150884075,(L) 20141478,213396174,2017,Positive,2
Byron_150884075,(L) 20141478,297445437,2018,Negative,1
Byron_150884075,(L) 20141478,310718144,2018,Positive,2
Byron_150884075,(L) 20142826,239698268,2018,Positive,2
Byron_150884075,(L) 22094539,265992534,2018,Negative,1
Byron_150884075,(L) 22094539,268728209,2018,Negative,1
Byron_150884075,(L) 22603795,245843042,2018,Negative,1
Byron_150884075,(L) 23132874,232903038,2018,Positive,2
Byron_150884075,(L) 23132874,234441056,2018,Positive,2
Byron_150884075,(L) 23528360,260729405,2018,Negative,1
Byron_150884075,(L) 23528360,263357564,2018,Negative,1
Byron_150884075,(L) 23528360,273071055,2018,Negative,1
Byron_150884075,(L) 23528360,278830977,2018,Negative,1
Byron_150884075,(L) 23528360,282627479,2018,Negative,1
Byron_150884075,(L) 23528360,282989874,2018,Positive,2
Byron_150884075,(L) 23528360,299404300,2018,Negative,1
Byron_150884075,(L) 23528360,305142395,2018,Negative,1
Byron_150884075,(L) 23528360,307186095,2018,Negative,1
Byron_150884075,(L) 23528360,311266471,2018,Positive,2
Byron_150884075,(L) 23528360,315067634,2018,Negative,1
Byron_150884075,(L) 23528360,328008397,2018,Negative,1
Byron_150884075,(L) 23528360,337318552,2018,Negative,1
Byron_150884075,(L) 23528360,340123604,2018,Negative,1
Byron_150884075,(L) 23528360,342942542,2018,Negative,1
Byron_150884075,(L) 23528360,345746143,2018,Negative,1
Byron_150884075,(L) 24517938,270360683,2018,Negative,1
Byron_150884075,(L) 24517938,271632453,2018,Positive,2
Byron_150884075,(L) 25136313,295634896,2018,Negative,1
Byron_150884075,(L) 25749889,279497789,2018,Negative,1
Wayne & Kate_980703,(L) 389876,7821370,2013,Negative,1
Wayne & Kate_980703,(L) 426879,100741242,2016,Positive,2
Wayne & Kate_980703,(L) 869520,86234401,2016,Negative,1
Wayne & Kate_980703,(L) 869520,95680022,2016,Positive,2
Wayne & Kate_980703,(L) 1668941,9077378,2013,Positive,2
Wayne & Kate_980703,(L) 1714235,20123598,2014,Positive,2
Wayne & Kate_980703,(L) 1910165,19659446,2014,Negative,1
Wayne & Kate_980703,(L) 1949398,11315677,2014,Positive,2
Wayne & Kate_980703,(L) 1949398,17420445,2014,Negative,1
Wayne & Kate_980703,(L) 1966675,67418271,2016,Negative,1
